x,y,z
668862,261.688,0.00958057
668861,261.688,0.00958057
668859,261.688,0.0100556
668858,261.688,0.0100556
668857,261.688,0.00921478
668856,261.688,0.00921478
668862,261.795,0.00885535
668861,261.795,0.00885535
668859,261.795,0.0101733
668858,261.795,0.0101733
668857,261.795,0.00891628
668856,261.795,0.00891628
668862,261.902,0.00992749
668861,261.902,0.00992749
668859,261.902,0.00973293
668858,261.902,0.00973293
668857,261.902,0.00941751
668856,261.902,0.00941751
668862,262.009,0.0089498
668861,262.009,0.0089498
668859,262.009,0.00959421
668858,262.009,0.00959421
668857,262.009,0.00910968
668856,262.01,0.00910968
668862,262.117,0.00975537
668861,262.117,0.00975537
668859,262.117,0.0102266
668858,262.117,0.0102266
668857,262.117,0.0103458
668856,262.117,0.0103458
668862,262.224,0.00929482
668861,262.224,0.00929482
668859,262.224,0.0103572
668858,262.224,0.0103572
668857,262.224,0.00986519
668856,262.224,0.00986519
668862,262.331,0.00840215
668861,262.331,0.00840215
668859,262.331,0.0107626
668858,262.331,0.0107626
668857,262.331,0.00928888
668856,262.331,0.00928888
668862,262.438,0.0116463
668861,262.438,0.0116463
668859,262.438,0.00968241
668858,262.438,0.00968241
668857,262.438,0.00862239
668856,262.439,0.00862239
668862,262.545,0.0133189
668861,262.545,0.0133189
668859,262.545,0.0130535
668858,262.545,0.0130535
668857,262.545,0.00822803
668856,262.546,0.00822803
668862,262.653,0.00875273
668861,262.653,0.00875273
668859,262.653,0.00898649
668858,262.653,0.00898649
668857,262.653,0.00916129
668856,262.653,0.00916129
668862,262.76,0.00923386
668861,262.76,0.00923386
668859,262.76,0.0122308
668858,262.76,0.0122308
668857,262.76,0.0102764
668856,262.76,0.0102764
668862,262.867,0.00927386
668861,262.867,0.00927386
668859,262.867,0.0117097
668858,262.867,0.0117097
668857,262.867,0.0131497
668856,262.867,0.0131497
668862,262.974,0.0105143
668861,262.975,0.0105143
668859,262.975,0.011248
668858,262.975,0.011248
668857,262.975,0.00931091
668856,262.975,0.00931091
668862,263.082,0.00886347
668861,263.082,0.00886347
668859,263.082,0.00937982
668858,263.082,0.00937982
668857,263.082,0.00953065
668856,263.082,0.00953065
668862,263.189,0.0121026
668861,263.189,0.0121026
